tweet,label
lagunya billie marten yg sangat nostalgic..... kaya pas aku masih depresi.... shit now im panicking im afraid eunsang feel the same like what i used to feel,1
"Anjing push rank kalah teros, nilai elek pollll. Iso depresi ki aku jingannn",1
kalo di kasus aku depresi bang,1
Update: aku dah refer ke hospital. Unit psikatri dah tetap kan temu janji dan beberapa sesi kaunseling dgn aku. Aku memang betul ada masalah anxiety yg agak teruk dan tahap depresi yg agak tinggi. Satu je aku nak pesan. Cuba rujuk kepada pakar jika anda ada masalah.,1
"kenapa sih banyak orang depresi yg mau bundir yang send friend request di fb, jadinya di beranda kebanyakan negativitas  Tp aku gak bisa protes atau buat status gitu nanti malah memicu mereka bundir beneran -_-  maaf, aku cuma gak mau nambah lebih banyak negatif dalam hidupku",1
Ada psikolog/psikiater buat kucing nggak yaaa☹️ kucing aku spt sedang stressful & depresi bgtbgt kesiann😩,1
"Kemarin abis ngabisin soju sebotol, aku depresi",1
"kamu udah ke psikolog & psikiatri? kalo udah dilanjutin lagi. kalo belum lagi, bisa ngobrol sama aku. nanti kalo di jabodetabek aku bisa rekomen ahli yang emang bisa bantu kamu💖 depresi & anxiety gabisa bikin kamu gak guna, mereka cuman masalah kecil aja.",1
"Skrg aku ngerti knp org2 milih deactivated account, disaat sedih dgn kehidupan yg dijalanin, trs ngeliat kehidupan org lain yg menjadi idaman selama ini. Makin makinlah depresi:(",1
@beericake aku mau curhat tapi dm icel error. sedih aku,1
Sepertinya aku depresi gara² entah apa 😭,1
@lightchoco_ coba kita ngobrol di sini aja soalnya dm aku tb tb error gada yang masuk 🤦‍♀️,1
"aku emang gak ikut demo tapi ini tll banget. apa apa kasian, pemerintah aja gak kasian sama kita lmao  https://twitter.com/collegemenfess/status/1176034928774877184 …",1
"#MINIEX0U karena 7 thn aku stay smaa mreka,mereka obat saat aku depresi krna alm tunangan ku,kalo bisa ketemu chen sekali aja aku akan lebih semangat buat sembuh,karena senyuman chen sama pemikiran dia yg bikin aku kuat 💙  pic.twitter.com/afh84msHJa",1
"Tapi kamu jgn dipendem sendiri apa apanyaa. Plis, jgn smp kamu kaya aku dulu prnah depresi😭",1
"lanjut ke SMA sih yang paling parah. walau dapat kisah cinta yang lumayan lah ditembak adek dan kk kelas, tapi depresi tu berlanjut terus. apalagi ortu yang super overprotective jadi aku ga bisa nongkrong kaya temen² yang lain",1
Aku depresi habis nonton itu sumpah,1
ayo dm aku,1
ticketingnya cepet bgt kak:(:( aku udah bener2 depresi,1
"Aku iyain tawaran dia sampe akhirnya candu. Kai waktu itu juga depresi karena identitas barunya sebagai Kai exo bukan Jongin. Interview dia ngebuat aku ngerasa kalo ga sendirian didunia ini. Hingga, akhirnya nangis senyumku bareng sama dia 6 tahun ini. #MINIEX0U",1
Because exo was saving my second life. Aku pernah di titik depresi yang bgt bgt; i feel alone in this whole world; i won't to life anymore. Udah ngelakuin hal hal gila buat mati aja tapi temen gue nawarin gue kpop misic yg saat itu aku anti. Gatau kenapa aku- #MINIEX0U,1
"pantes aja idol banyak yg depresi. emg kalo udh terlanjur capek idup, ga ada orang yg ngertiin, ga ada yg bisa dipercaya. bawaannya pgn ngeakhiri idup. tp aku sadar aku banyak dosa takut masuk neraka😭",1
"Aku anaknya emang cengeng sih sm film, tapi nonton Green Mile udah sekejer-kejernya kejer wqwq  Kutambahkan jg film yg menyayat sekale dan agak bikin depresi: Manchester by the Sea dan Loving Vincent  pic.twitter.com/ucflpO24sp",1
"Tapi tadi waktu coba cerita sama temen, aku random aja bilang kalo aku pernah self harm. Dia spontan bilang kalo aku ga waras, aku depresi dan sebagainya",1
"Ketika aku keluar banyak kerjaan, aku depresi juga wkwk",1
"Ketika aku sendirian, aku depresi.",1
"Kayanya nasib kita sama nder, aku capek di katain sm mama dan kakak-kakak aku kenapa aku gini, kenapa aku aneh, ya mereka kenapa kaga nanya emak saya dulu ngedidiknya begimana kok saya jadi kaya gini. Heran  Meskpun itu bisa diubah tapi susah kalo udah jd depresi yg bertahun2",1
Aowkwk aku depresi lagi,1
"Pas lagi seret finansial satu keluarga, waktu itu lg nungguin Alm. Om dirumah sakit. Keluar lorong bawahnya auto deres aku, yha bisa dibilang ini depresi sambil lemah iman juga sih~",1
"aku yg dikenal temenku : ceria, ramah, petakilan, santuy, pinter, suka senyum, suka bikin ngakak, gatau malu, gak baperan, abnormal  aku yg dikenal keluargaku : ceria, ramah, petakilan, santuy, pinter, suka senyum, suka bikin ngakak.  aku ketika sendiri : nangis nangis depresi  https://twitter.com/xxtanniee/status/1175780461504692225 …",1
Aku makin depresi ga ya kl nonton joker,1
"[nctbase] mput aku alay ga si, kadang aku suka sedih dan gampang depresi, dikit2 nangis, kesel dikit nangis, tapi tiap liat johnny ketawa ceria aku ikutan ceria dan rasanya mood aku langsung berubah drastis gitu, aku aneh ga si kalau gitu?  pic.twitter.com/gx1n5T74OX",1
"Kadang ga ngerti sama ortu sendiru, pernah nyoba curhat soal feeling aku tp esok2nya juga disindir lagi ""Apa anak2 depresi, depresi, kerjanya juga paling main hp, belajar disuruh, ada yang lebih menderita lagaknya udah kayak paling tersiksa didunia."" ON GOD PENGEN NGILANG :""))",1
"Aaaa ojo ngono to, aku depresi ki 😭😭😭😭",1
dulu aku gap year setahun dr 2016 ke 2017. tips apa nih? belajar? apa bangkit dr depresi?,1
"Sebenernya ga knp knp sih. Cuma emang tetep pengen kontrol rutin aja buat perkembanganku. Aku ngerasa masih ada bpd & negativistik yg harus aku kenali, biar ga kalah perang. Bpd ini emang sialan bgt sih mengganggunya. Kalo lg di fase depresi bikin kesel bgt.",1
"Untuk @panjishirou   Aku tau kalau kakak sedang tidak senang, aku pun sama sedang tidak seng karena masalah kemarin di grup WA dan akhirnya depresi, samapai sekarang pun masih  Sebuah kabar buruk tentang kak panji, grup IG yang bilang, tapi aku gak akan sebarin, aku janji.😊  pic.twitter.com/DJiKJZchM4",1
"krn exo segalanya buatku, exo is my savior when i was depressed😭 mrk nyelamatin aku dari lubang depresi, walaupun mrk jauh tp aku merasa mrk deket bgt sama aku♡ exo udh kuanggap kyk kakakku sendiri, makanya aku pengen blg terima kasih ke mereka scr lgsg lewat konser😭 #MINIEX0U pic.twitter.com/z3KNz9wA9F",1
"Jaken ngopo ngono Mas Wedi nek Depresi aku :"")  https://twitter.com/ndracuk30/status/1176029048905945088 …",1
"bismillah, pgn bgt aku ketemu penyemangat depresi aku,mereka bener bener dateng pas aku lagi down bgt, brhrp bs ngliat mrk secara langsung, rugi bgt kalo ngga ketemu mrk padahal udh disamperin hhu wml, tolong pertemukan kamii 😭 baekhyun tunggu aku #MINIEX0U pic.twitter.com/69y6TPCsmM",1
"Ada yang tahu masalah hidup dia apa? Siapa tahu depresi berat atau gimana...   Aku cuman kali ini komen bijak, lupa bawa golok soalnya",1
"Akhir"" ini aku gampang emosi, pusing, mual lalu tertawa .   Depresi kaya om goblin 😭😭😭",1
"so many reasons. Makin digali, makin nggak puas dengan jawabannya, makin depresi. Nek aku milih hidup bahagia daripada tahu semuanya. ""Berbahagialah kamu yang tidak tahu""",1
"saat depresi mengajakmu berkenalan, kuharap kau ingat rasanya bersalaman dengan silet yg mengiris nadimu.  pic.twitter.com/edduJBWtzv",1
"Sejak lahir cucu aku jadi bisa bnyk lakukan aktivitas luar ruang, jadi ada temennya. Dan kesibukanku cari nafkah sebagai single fighter, Tak menyisakan ruang untukku merasakan depresi atau manic lagi😘😘😍🤩  Acara…  https://www.instagram.com/p/B2vaQOeH92z/?igshid=1udcpq4wzevvq …",1
"""Oh, oke siap. Aku checkout siang ini ya kawan-kawan""  Sorenya linglung. Stres sampai depresi. Tersadar karena duitnya sudah berlarian ke sana ke mari dan tertawa.  https://twitter.com/ainunrozi/status/1175695598478974981 …",1
"Sering jadi tempat curhat mereka mereka yang down, butuh semangat bahkan depresi. Tapi sendirinya malah gabisa nyelesain masalah sendiri :)  Aku.",1
"Jadi flashback ketika aku smp dulu hampir depresi karena perbedaan semua bahkan perlakuan, sangat beda antara yang pertama dan kedua sakit rasanya sampai aku berfikir apa aku bukan cucu kandungnya ? sampai aku diperlakukan layaknya disinetron",1
aku gak mengerti,1
Psikologis kehilangan. Kehilangan=berduka  Proses berduka dibagi menjadi 5 fase:  1.pengingkaran 2.marah 3.tawar menawar 4.depresi 5.penerimaan  Di point ke 3 boleh ga ak nawar biar kamu balik lagi ke aku?,1
Aku jatuh cinta dengan seseorang Dan dia meninggalkan ku  Jika aku jatuh cinta dengan depresi Mungkin depresi itu akan meninggalkan ku,1
"Banyak hal, yang membuatku sedih, kecewa, nangis sampe nyeseg, dan depresi berkepanjangan, moga aja dengan banyak hal ini aku bisa kurus. 🙃",1
"Mungkin kawan-kawanmu itu kurang pengalaman.  Sewaktu aku depresi dulu, justru kawan-kawan terdekat yang memberi semangat untuk bangkit. Seperti mereka dulu sewaktu mengalami hal serupa.",1
"Iyaaa yg pasti mereka pro bgt ya.. kalo aku denger curhatan tiap hari orang depresi pasti kebawa gloomy deh :"")",1
"Kalo inget temen aku yang depresi karena ekspektasinya. Aku bahagia dengan kenyataan yg tidak pernah aku bayangkan sebelumnya. Jogja, 20-22 Sept 19' 🖤",1
Aku juga bakal berusaha untuk mengendalikan emosi. Aku pun akan berusaha untuk sembuh dari depresi. Kamu salah satu alasan kenapa aku benar-benar ingin sembuh dari depresi,1
"Aku coba survive dgan depresi selama berbulan-bulan, lalu mlm itu kamu datang dan menceritakan hal yg menjadi pelatuk bagiku, menggagalkan usahaku utk sembuh. Aku ada salah apa? Sebegitu niatnya kmu ngancurin aku.",1
"Jadi setelah depresi satu harian di hari minggu, akhirnya dapat kabar hari ini tidak masuk.   Hilang depresi ku.  Ternyata, aku depresi pada hari minggu karena besok senin :""",1
"Sebagai org yg rawan selfharm, aku sebel bgt si ada yg post foto selfharm di sosmed, soalnya bisa memicu keinginanku yg tdnya bersikeras buat ga selfarm malah selfharm lagi. apalagi kalo lagi episode (aku pengidap bipolar disorder+depresi yg rentan buat selfharm dan bunuh diri)",1
"Yap benar, btw aku ngga bilang kalau ""hanya dokter yg bisa mendiagnosis depresi"" kok 😂👌🏻 Aku cm nulis dokter (tanpa psikolog) karena berdasar pengalamanku, butuh waktu yg lebih lama untuk bisa dapat diagnosis dari psikolog. -c-",1
"Pernah, tapi aku anggep angin lalu Depresi terus gaakan buat hidup aku maju",1
"Aku udh ngidap depresi sangat lama. Dan tahun 2019 ini tahun terberat untuk ku. Tapi exo hadir ditengah hampanya hati ku, lagu lights out membantu aku utk tidur tenang saat itu.. lihat EXO aku berfikir bahwa hidup memang butuh kerja keras, dan merasa terlalu dini utk nyerah",1
"guru bk sekolahku dulu jg gt, dia notice aku yg akhir akhir itu jd murung trs dia suruh aku cerita, setelah aku cerita bahwa aku depresi ringan. dengan gampangnya dia cuma menghakimi aku bilang aku kurang bersyukur, kurang sosialisasi. wtf nambah beban iya",1
Awat la aku malu nak try diaaa🤦‍♂️,1
"karena aku dikelilingi oleh orang2 yg pnya masalah banyak, terutama aku, orang stress, frustasi dan depresi itu pnya caranya sendiri buat nenangin diri mereka, sedih kalau teman atau kerabat ngelukain hal gini, coba ajak cerita ajak kemana aja yg buat dia senang",1
aku depresi  pic.twitter.com/SQ8zwaqw4o,1
"Bagus, tp bikin aku depresi",1
"Lagu fav aku Intro:Persona  Karena di lirik Intro:Persona kita seakan mencari jati diri kita yang sebenarnya,bukan yang ditunjukkan di publik.namjoon sering bikin lagu ttg curahan hati dia trs jg tentang menghadapi depresi dan--  #PCAs #TheMusicVideo #BoyWithLuv @BTS_twt pic.twitter.com/QZ0E06qgLI",1
"heii tolong dong aku pernah liat thread tentang bicara dengan orng yg depresi atau yg suicidal tapi aku gatau akunnya apa, pokkonnya aku pernal liat di twitter klo ada yg tau tolong rep yaa, lg butuh  #depression #SuicidePrevention",1
